TERMO DE COLABORAÇÃO,COMPETÊNCIA,ITEM,RÚBRICA,CUSTO DIRETO,NF,EMPRESA,STATUS,PAGAMENTO
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.19,MATERIAL PEDAGÓGICO,"R$ 1.544,46",6145,FORTAL,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.19,MATERIAL PEDAGÓGICO,"R$ 1.547,20",6146,FORTAL,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.19,MATERIAL PEDAGÓGICO,"R$ 378,97",6185,FORTAL,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.23,UTENSÍLIOS DE COZINHA,"R$ 353,00",570,R&R,FATURADA,
25.2022 - CSMI CURIÓ,FEVEREIRO,1.6.25,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 4.388,55",,ARRUDA,,
01/2025 - DIAS MACEDO,JANEIRO,1.3.2002,MATERIAL DE EXPEDIENTE,"R$ 2.318,37",6106,FORTAL,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.2002,MATERIAL DE EXPEDIENTE,"R$ 977,56",6107,FORTAL,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.2003,MATERIAL DE LIMPEZA,"R$ 3.421,36",564,R&R,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.2003,MATERIAL DE LIMPEZA,"R$ 881,54",563,R&R,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.2005,UTENSÍLIOS DE COZINHA,"R$ 71,80",566,R&R,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 2.403,65",126,AVANTI,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 179,70",37193,CCPF,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 200,10",129,AVANTI,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 340,09",127,AVANTI,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.13,GÊNEROS ALIMENTÍCIOS,"R$ 575,90",37195,CCPF,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.14,MATERIAL DE PROTEÇÃO E SEGURANÇA,"R$ 131,60",128,AVANTI,PAGA,04/02/2026
01/2025 - DIAS MACEDO,JANEIRO,1.3.16,MATERIAL EDUCATIVO E ESPORTIVO,"R$ 263,60",6105,FORTAL,PAGA,04/02/2026
01/2025 - DIAS MACEDO,FEVEREIRO,1.3.17,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 1.291,60",138,ARRUDA,FATURADA,
12/2022 - CREAS FORTALEZA,JANEIRO,2.3.2003,COMUNICAÇÃO EM GERAL,"R$ 3.343,20",58,KM SERVIÇOS,PAGA,19/01/2026
12/2022 - CREAS FORTALEZA,FEVEREIRO,2.3.2003,COMUNICAÇÃO EM GERAL,"R$ 647,40",,KM SERVIÇOS,,
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.2002,GÊNEROS ALIMENTÍCIOS,"R$ 24.994,44",117,AVANTI,PAGA,30/01/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.2002,GÊNEROS ALIMENTÍCIOS,"R$ 1.811,76",37094,CCPF,PAGA,30/01/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.2003,MATERIAL DE EXPEDIENTE,"R$ 233,04",6095,FORTAL,PAGA,05/02/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.2004,MATERIAL DIDÁTICO PEDAGÓGICO,"R$ 403,80",6096,FORTAL,PAGA,05/02/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.2007,MEDICAMENTOS E PRIMEIROS SOCORROS,"R$ 1.978,10",475,FARMÁCIA,PAGA,30/01/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.2009,UTENSÍLIOS DOMÉSTICOS,"R$ 254,80",555,R&R,PAGA,05/02/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.10,MATERIAL DE LIMPEZA,"R$ 1.856,22",552,R&R,PAGA,05/02/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.12,MATERIAL DE HIGIENE,"R$ 994,44",551,R&R,PAGA,30/01/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.12,MATERIAL DE HIGIENE,"R$ 1.056,00",554,R&R,PAGA,05/02/2026
15/2025 - ACOLHIMENTO II,JANEIRO,1.5.12,MATERIAL DE HIGIENE,"R$ 1.343,55",553,R&R,PAGA,05/02/2026
15/2025 - ACOLHIMENTO II,FEVEREIRO,1.5.13,MATERIAL PARA FESTIVIDADES,"R$ 1.277,03",6110,FORTAL,FATURADA,
