INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,ITEM,DESCRIÇÃO
1202581,02/2022,CSMI BARBALHA,1.2.20,Oficina vôlei e handebol
1202581,02/2022,CSMI BARBALHA,1.2.21,Alimentação para eventos
1202581,02/2022,CSMI BARBALHA,1.2.22,Primeiros socorros
1202581,02/2022,CSMI BARBALHA,1.2.23,Uniforme em geral
1202581,02/2022,CSMI BARBALHA,1.2.24,Utensílios de cozinha
1202581,02/2022,CSMI BARBALHA,1.2.25,Materiais e utensílios do curso de gastronomia
1202581,02/2022,CSMI BARBALHA,1.2.26,Fornecimento de água
1202581,02/2022,CSMI BARBALHA,1.2.27,Gás de engarrafado
1202581,02/2022,CSMI BARBALHA,1.2.28,Gêneros alimentícios
1202581,02/2022,CSMI BARBALHA,1.2.29,Futebol de salão
1202581,02/2022,CSMI BARBALHA,1.3.1,Serviços de pequenos reparos de bens móveis e imóveis
1202581,02/2022,CSMI BARBALHA,1.3.2,Serviços gráficos e reprográficos
1202581,02/2022,CSMI BARBALHA,1.3.3,Locação de veículo
1202581,02/2022,CSMI BARBALHA,1.3.4,Dedetização
1202581,02/2022,CSMI BARBALHA,1.3.5,Esgotamento de fossa
1202581,02/2022,CSMI BARBALHA,1.3.6,Limpeza de caixa d'água
1202581,02/2022,CSMI BARBALHA,1.3.7,"Prêmios, condecorações, medalhas e troféus"
1202581,02/2022,CSMI BARBALHA,1.3.8,Monitoramento eletrônico
1202581,02/2022,CSMI BARBALHA,1.3.9,Recolhimento de cota patronal 20%
1202581,02/2022,CSMI BARBALHA,1.4.1,"Remuneração de serviços de natureza eventual (palestrante, instrutoria, oficineiro, etc)"
1202581,02/2022,CSMI BARBALHA,1.4.2,Serviços de pequenos reparos de bens móveis e imóveis
1202581,02/2022,CSMI BARBALHA,1.4.3,Benefício assistencial para monitoramento das atividades - (22 bolsistas)
1202581,02/2022,CSMI BARBALHA,1.5.1,Equipamento e permanente geral
1202581,02/2022,CSMI BARBALHA,1.5.2,Sala de música
1202581,02/2022,CSMI BARBALHA,1.5.3,Material – horto
1202581,02/2022,CSMI BARBALHA,1.6.1,Diária dentro do Estado
1202581,02/2022,CSMI BARBALHA,1.7.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale-transporte e vale-refeição);"
1202581,02/2022,CSMI BARBALHA,1.7.2,"Material de expediente, tecnologia da informação e suprimento de informática"
1202581,02/2022,CSMI BARBALHA,1.7.3,Locação de veículo
1202581,02/2022,CSMI BARBALHA,1.7.4,Serviços de pequenos reparos de bens móveis e imóveis
1202581,02/2022,CSMI BARBALHA,1.7.5,"Material para limpeza, conservação e higiene"
1202581,02/2022,CSMI BARBALHA,1.6.2,Diária fora do Estado
1202581,02/2022,CSMI BARBALHA,1.2.30,"Material para festividade, homenagens, prêmios condecorações, medalhas e troféus"
1202581,02/2022,CSMI BARBALHA,1.2.31,Material de copa e cozinha
1202581,02/2022,CSMI BARBALHA,1.2.32,Material de proteção e segurança
1202581,02/2022,CSMI BARBALHA,1.2.33,Oficina de teatro
1202581,02/2022,CSMI BARBALHA,1.3.10,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros, feiras e festividades (fornecimento de alimentação, locação de espaço físico, locação de maquinas e equipamentos em geral)"
1202581,02/2022,CSMI BARBALHA,1.3.11,"Locação de máquinas, equipamentos e infraestrutura para TI"
1202581,02/2022,CSMI BARBALHA,1.3.12,Passagens aéreas e terrestres
1202581,02/2022,CSMI BARBALHA,1.3.13,Locação de ônibus
1202581,02/2022,CSMI BARBALHA,1.3.14,"Remuneração de serviços de natureza eventual (palestrante, instrutoria, oficineiro, etc)"
1202581,02/2022,CSMI BARBALHA,1.3.15,"Serviço de locação, montagem e desmontagem de brinquedos de recreação, equipamentos e itens para eventos"
1202581,02/2022,CSMI BARBALHA,1.7.6,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria"
1202581,02/2022,CSMI BARBALHA,1.2.34,Outros materiais de consumo
1190123,06/2021,CSMI CRISTO REDENTOR,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13ºsalário, férias, adicional noturno, vale-transporte e vale-refeição);"
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.1,Acessórios para banheiros
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.2,"EPI’s cozinha, curso de gastronomia e demais ambientes"
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.3,Material de expediente
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.4,Material de limpeza
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.5,Material de tecnologia da informação e suprimento de informática
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.6,"Materiais para reparos e conservação de bens, móveis e imóveis"
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.7,Material para oficinas pedagógicas
