INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.006,00",,CCPF,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.22,PRIMEIROS SOCORROS,"R$ 1.320,65",,AVANTI,,
1190123,06/2021,CSMI CRISTO REDENTOR,MARÇO,2026,1.2.28,MATERIAL DE COPA E COZINHA,"R$ 1.171,80",,R&R,,
1238489,12/2022,CREAS CARIRI FORTALEZA,JANEIRO,2026,2.3.3,COMUNICAÇÃO EM GERAL,"R$ 3.343,20",58.0,KM SERVIÇOS,PAGA,19/01/2026
1238489,12/2022,CREAS CARIRI FORTALEZA,FEVEREIRO,2026,2.3.3,COMUNICAÇÃO EM GERAL,"R$ 647,40",68.0,KM SERVIÇOS,PAGA,18/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.2,GÊNEROS ALIMENTÍCIOS,"R$ 24.994,44",117.0,AVANTI,PAGA,30/01/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.2,GÊNEROS ALIMENTÍCIOS,"R$ 1.811,76",37094.0,CCPF,PAGA,30/01/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.3,MATERIAL DE EXPEDIENTE,"R$ 233,04",6095.0,FORTAL,PAGA,05/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.4,MATERIAL DIDÁTICO PEDAGÓGICO,"R$ 403,80",6096.0,FORTAL,PAGA,05/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.7,MEDICAMENTOS E PRIMEIROS SOCORROS,"R$ 1.978,10",475.0,FARMÁCIA,PAGA,30/01/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.9,UTENSÍLIOS DOMÉSTICOS,"R$ 254,80",555.0,R&R,PAGA,05/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.10,MATERIAL DE LIMPEZA,"R$ 1.856,22",552.0,R&R,PAGA,05/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.12,MATERIAL DE HIGIENE,"R$ 994,44",551.0,R&R,PAGA,30/01/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.12,MATERIAL DE HIGIENE,"R$ 1.056,00",554.0,R&R,PAGA,05/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,JANEIRO,2026,1.5.12,MATERIAL DE HIGIENE,"R$ 1.343,55",553.0,R&R,PAGA,05/02/2026
